epoch,phase,mean_loss,precision,recall,accuracy,auc
0,train,0.717306,0.492749,0.569814,0.989186,
1,train,0.609936,0.618672,0.740117,0.992384,
2,train,0.564126,0.680474,0.778798,0.993758,
3,train,0.493420,0.748437,0.811378,0.995093,
4,train,0.471762,0.759330,0.822481,0.995339,
4,val,0.472586,0.737963,0.832928,0.995680,0.995014
5,train,0.444494,0.793737,0.841112,0.995985,
6,train,0.430908,0.799548,0.844779,0.996097,
7,train,0.421674,0.808459,0.850674,0.996268,
8,train,0.399701,0.832127,0.858271,0.996651,
9,train,0.402036,0.836388,0.855952,0.996687,
9,val,0.448350,0.710770,0.878225,0.995528,0.996024
10,train,0.381452,0.852412,0.871165,0.997025,
11,train,0.375604,0.850898,0.863673,0.996940,
12,train,0.368060,0.861381,0.882430,0.997239,
13,train,0.349558,0.866559,0.886434,0.997340,
14,train,0.349618,0.862967,0.882289,0.997258,
14,val,0.443990,0.835215,0.727508,0.996117,0.993262
15,train,0.344811,0.864091,0.883649,0.997284,
16,train,0.333109,0.874005,0.893621,0.997499,
17,train,0.345969,0.854205,0.869838,0.997037,
18,train,0.328443,0.873498,0.886852,0.997431,
19,train,0.314250,0.886022,0.902044,0.997724,
19,val,0.426567,0.761292,0.856783,0.996156,0.995877
20,train,0.318442,0.875031,0.887393,0.997454,
21,train,0.315967,0.883572,0.894260,0.997622,
22,train,0.307513,0.890259,0.902157,0.997777,
23,train,0.303160,0.891429,0.904542,0.997813,
24,train,0.301742,0.885764,0.898344,0.997687,
24,val,0.446106,0.813856,0.812314,0.996514,0.988717
25,train,0.298652,0.890156,0.901130,0.997766,
26,train,0.293834,0.893879,0.902888,0.997827,
27,train,0.286218,0.898771,0.911134,0.997963,
28,train,0.288108,0.897909,0.911159,0.997953,
29,train,0.283537,0.902917,0.912088,0.998022,
29,val,0.411962,0.787931,0.852863,0.996485,0.993121
30,train,0.276963,0.901900,0.911922,0.998008,
31,train,0.279716,0.900594,0.909373,0.997969,
32,train,0.272281,0.903105,0.915056,0.998052,
33,train,0.267502,0.907675,0.914302,0.998099,
34,train,0.267532,0.905078,0.916365,0.998088,
34,val,0.424412,0.798980,0.829350,0.996460,0.993390
35,train,0.268329,0.908862,0.915612,0.998126,
36,train,0.263899,0.906906,0.918428,0.998130,
37,train,0.259442,0.906378,0.920862,0.998147,
38,train,0.255484,0.913363,0.921310,0.998234,
39,train,0.258118,0.907789,0.915062,0.998108,
39,val,0.413476,0.791338,0.836564,0.996416,0.991671
